Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20181024_194436;0.267;0.973;9.684;-0.005;0.004;-0.002;0.0;-28.653;35.982;4.857;5.0;19.17094;72.95434;-58.5;3.1
20181024_194437;0.351;0.942;9.897;-0.001;0.003;-0.001;0.0;-28.163;36.588;5.083;5.0;19.17094;72.95434;-58.6;0.0
20181024_194437;0.277;0.954;9.861;-0.003;0.006;-0.001;0.0;-29.616;36.176;3.142;5.0;19.17094;72.95434;-58.6;0.0
20181024_194438;0.262;0.836;9.777;-0.004;0.007;-0.002;0.0;-27.977;34.050;3.456;5.0;19.17094;72.95434;-58.2;0.0
20181024_194438;0.255;0.803;10.053;-0.003;0.006;-0.001;0.0;-27.058;35.736;4.259;5.0;19.17094;72.95434;-58.2;0.0
20181024_194439;0.313;0.927;9.796;-0.004;0.006;-0.001;0.0;-27.615;36.389;3.683;5.0;19.17094;72.95435;-58.1;0.0
20181024_194439;0.226;1.440;9.344;0.001;-0.001;-0.002;0.0;-28.798;35.208;5.402;5.0;19.17094;72.95435;-58.1;0.0
20181024_194440;0.284;1.624;9.748;0.000;0.008;0.001;0.0;-28.268;36.571;2.440;5.0;19.17093;72.95435;-57.4;0.0
20181024_194440;0.207;1.552;9.686;-0.005;0.012;-0.001;0.0;-29.253;36.629;3.194;5.0;19.17093;72.95435;-57.4;0.0
20181024_194441;0.174;1.626;9.701;-0.006;0.002;-0.004;0.0;-29.688;36.652;3.185;5.0;19.17094;72.95435;-56.6;0.9
20181024_194441;0.337;0.956;9.792;-0.024;-0.005;-0.010;0.0;-27.010;34.314;3.506;5.0;19.17094;72.95435;-56.6;0.9
20181024_194442;0.202;1.176;10.036;0.000;0.001;-0.003;0.0;-29.114;36.783;3.677;5.0;19.17094;72.95435;-56.0;3.5
20181024_194442;0.270;1.234;9.339;-0.004;-0.011;-0.004;0.0;-28.461;37.544;5.008;5.0;19.17095;72.95436;-55.5;5.0
20181024_194443;0.399;1.066;9.880;-0.007;0.004;-0.006;0.0;-30.251;38.248;2.541;5.0;19.17095;72.95436;-55.5;5.0
20181024_194443;0.370;0.408;9.938;-0.022;-0.009;0.002;0.0;-31.380;37.694;4.474;5.0;19.17096;72.95437;-55.8;6.1
20181024_194444;0.487;0.108;9.995;-0.028;0.006;-0.010;0.0;-29.874;38.570;5.994;5.0;19.17096;72.95437;-55.8;6.1
20181024_194444;0.277;0.573;10.108;-0.001;0.006;0.005;0.0;-30.659;36.711;4.248;5.0;19.17097;72.95438;-56.2;5.2
20181024_194445;0.396;0.132;9.808;-0.003;0.009;0.003;0.0;-29.124;37.268;5.273;5.0;19.17097;72.95438;-56.2;5.2
20181024_194445;0.310;0.568;9.928;-0.001;-0.008;0.006;0.0;-30.231;37.631;4.190;5.0;19.17097;72.95439;-55.7;3.3
20181024_194446;0.301;0.709;9.832;-0.002;0.008;-0.002;0.0;-28.920;36.621;4.288;5.0;19.17097;72.95439;-55.7;3.3
20181024_194446;0.337;1.712;9.866;0.000;0.014;0.008;0.0;-29.855;35.255;4.291;5.0;19.17098;72.95440;-56.1;2.1
20181024_194447;0.356;1.574;9.643;-0.008;0.005;0.009;0.0;-28.600;34.236;2.991;5.0;19.17098;72.95440;-56.1;2.1
20181024_194447;0.380;1.473;9.902;0.005;0.007;0.001;0.0;-32.341;37.888;2.759;5.0;19.17098;72.95441;-56.1;3.3
20181024_194448;0.667;1.638;9.782;0.010;0.003;-0.015;0.0;-29.524;36.485;3.018;5.0;19.17098;72.95441;-56.1;3.3
20181024_194448;0.547;1.744;9.440;0.015;-0.004;-0.034;0.0;-28.969;35.669;2.957;5.0;19.17099;72.95442;-55.9;6.2
20181024_194449;0.423;0.764;9.940;-0.039;0.007;-0.029;0.0;-29.771;36.507;4.099;5.0;19.17099;72.95442;-55.9;6.2
20181024_194449;0.459;0.599;9.751;-0.016;0.001;-0.027;0.0;-28.195;36.096;2.399;5.0;19.17100;72.95443;-55.9;7.5
20181024_194450;0.466;0.750;9.823;-0.003;0.013;-0.031;0.0;-31.537;34.706;3.262;5.0;19.17100;72.95443;-55.9;7.5
20181024_194450;0.806;-0.773;10.081;-0.028;-0.019;-0.070;0.0;-31.210;36.584;4.376;5.0;19.17101;72.95445;-56.0;7.1
20181024_194451;0.382;-0.627;10.024;-0.003;0.003;-0.035;0.0;-31.039;34.692;4.826;5.0;19.17101;72.95445;-56.0;7.1
20181024_194451;0.286;0.621;9.734;-0.001;0.004;0.009;0.0;-30.666;35.767;4.005;5.0;19.17102;72.95446;-56.3;5.0
20181024_194452;0.085;0.649;9.856;-0.007;0.010;0.009;0.0;-30.641;33.559;3.180;5.0;19.17102;72.95446;-56.3;5.0
20181024_194452;0.305;2.103;8.621;0.018;-0.002;0.002;0.0;-31.088;35.791;4.306;5.0;19.17102;72.95447;-56.7;2.7
20181024_194453;0.210;1.765;9.495;0.000;0.012;0.015;0.0;-32.751;35.083;3.108;5.0;19.17102;72.95447;-56.7;2.7
20181024_194453;0.260;2.117;9.722;-0.008;0.028;0.024;0.0;-31.911;34.576;4.170;5.0;19.17103;72.95447;-57.3;2.8
20181024_194454;0.282;2.191;9.485;0.000;0.020;0.043;0.0;-29.289;36.948;3.532;5.0;19.17103;72.95447;-57.3;2.8
20181024_194454;-0.049;-0.011;9.624;-0.041;0.030;0.026;0.0;-29.590;37.286;4.486;5.0;19.17103;72.95448;-56.8;5.9
20181024_194455;0.341;0.736;9.863;-0.030;0.009;0.031;0.0;-27.940;39.717;4.913;5.0;19.17103;72.95448;-56.8;5.9
20181024_194455;0.183;1.171;9.899;0.009;-0.008;0.026;0.0;-25.749;39.119;3.523;5.0;19.17105;72.95450;-56.1;8.5
20181024_194456;0.349;0.896;10.017;0.026;0.001;0.018;0.0;-28.058;41.588;2.136;5.0;19.17105;72.95450;-56.1;8.5
20181024_194456;0.200;1.176;9.847;0.013;0.009;0.020;0.0;-26.131;37.396;1.645;5.0;19.17106;72.95451;-55.8;6.7
20181024_194457;0.181;1.375;9.598;-0.024;0.031;0.042;0.0;-26.620;41.510;1.859;5.0;19.17106;72.95451;-55.8;6.7
