"","","","","",""
"20181024_194738","-1.206","3.231","9.858","19.2417","73.14826"
"20181024_194739","-0.462","3.46","9.366","19.24173","73.14832"
"20181024_194739","-0.5","2.953","8.257","19.24173","73.14832"
"20181024_194740","-0.745","2.603","9.482","19.24174","73.14838"
"20181024_194740","-0.832","2.27","8.458","19.24174","73.14838"
"20181024_194741","0.042","3.823","8.446","19.24177","73.14844"
"20181024_194741","0.19","0.637","9.715","19.24177","73.14844"
"20181024_194742","-0.312","1.392","10.575","19.24178","73.14849"
"20181024_194742","-0.742","1.745","12.709","19.24178","73.14849"
"20181024_194743","0.033","4.148","14.683","19.2418","73.14854"
"20181024_194743","-1.061","3.803","10.994","19.2418","73.14854"
"20181024_194744","-0.755","2.19","7.149","19.24182","73.14856"
"20181024_194744","-0.307","3.207","8.214","19.24182","73.14856"
"20181024_194745","0.658","3.684","12.334","19.24182","73.14861"
"20181024_194745","0.22","2.609","11.403","19.24182","73.14861"
"20181024_194746","0.182","3.268","12.376","19.24184","73.14865"
"20181024_194746","-0.197","4.184","9.438","19.24184","73.14865"
"20181024_194747","0.786","3.678","11.049","19.24186","73.14869"
"20181024_194747","-0.69","3.752","8.034","19.24186","73.14869"
"20181024_194748","0.627","1.877","11.975","19.24187","73.14875"
"20181024_194748","-0.723","2.89","8.262","19.24187","73.14875"
"20181024_194749","-0.505","3.331","11.494","19.24188","73.14881"
"20181024_194750","-0.837","2.477","11.599","19.24188","73.14881"
"20181024_194750","-1.296","3.252","7.416","19.2419","73.14886"
"20181024_194751","-1.128","2.53","8.903","19.2419","73.14886"
"20181024_194751","-0.724","2.244","9.388","19.24193","73.14894"
"20181024_194752","-0.592","3.229","9.353","19.24193","73.14894"
"20181024_194752","-0.616","2.1","8.414","19.24195","73.149"
"20181024_194753","-1.036","2.595","7.332","19.24195","73.149"
"20181024_194753","-0.787","0.609","11.768","19.24198","73.14905"
"20181024_194754","-1.23","1.248","10.615","19.24198","73.14905"
"20181024_194754","-0.663","1.663","8.65","19.24201","73.14911"
"20181024_194755","-0.694","1.972","7.647","19.24201","73.14911"
"20181024_194755","-0.609","0.342","6.464","19.24203","73.14915"
"20181024_194756","-0.044","1.378","14.097","19.24203","73.14915"
"20181024_194756","-0.287","1.718","11.375","19.24205","73.14919"
"20181024_194757","-0.321","3.926","7.839","19.24205","73.14919"
"20181024_194757","-2.242","2.723","11.684","19.24207","73.14923"
"20181024_194758","-1.096","3.587","8.653","19.24207","73.14923"
"20181024_194758","-1.378","4.282","11.179","19.24209","73.14927"
"20181024_194759","-1.305","3.728","9.396","19.24209","73.14927"
"20181024_194759","-1.446","3.199","7.528","19.24212","73.14932"
"20181024_194800","-1.635","3.689","8.79","19.24212","73.14932"
"20181024_194800","-1.845","3.98","8.671","19.24216","73.14936"
"20181024_194801","-1.189","4.086","9.221","19.24216","73.14936"
"20181024_194801","0.115","3.235","9.999","19.24221","73.1494"
"20181024_194802","-0.192","3.074","9.463","19.24221","73.1494"
"20181024_194802","-0.536","2.905","8.939","19.24227","73.14945"
"20181024_194803","-0.215","2.269","7.577","19.24227","73.14945"
"20181024_194803","-0.721","3.423","9.667","19.24233","73.1495"
"20181024_194804","0.333","3.441","10.358","19.24233","73.1495"
"20181024_194804","0.071","2.468","11.518","19.24239","73.14956"
"20181024_194805","0.022","3.25","8.126","19.24239","73.14956"
"20181024_194805","0.604","2.232","9.712","19.24245","73.14961"
"20181024_194806","-0.504","3.058","7.698","19.24245","73.14961"
"20181024_194806","-0.479","2.434","9.51","19.24251","73.14967"
"20181024_194807","-0.095","4.879","4.985","19.24251","73.14967"
"20181024_194807","0.254","2.591","10.909","19.24257","73.14973"
"20181024_194808","0.93","2.085","10.099","19.24257","73.14973"
"20181024_194808","1.012","0.885","11.48","19.24263","73.14977"
"20181024_194809","0.284","1.921","10.987","19.24263","73.14977"
"20181024_194809","0.04","3.799","7.764","19.24268","73.14983"
"20181024_194810","-0.512","0.556","9.473","19.24268","73.14983"
"20181024_194810","-0.694","0.266","12.638","19.24273","73.14987"
"20181024_194811","-0.086","1.399","8.71","19.24273","73.14987"
"20181024_194811","-0.758","1.051","9.077","19.24277","73.14992"
"20181024_194812","-0.737","1.449","7.747","19.2428","73.14996"
"20181024_194812","-0.566","0.754","10.123","19.2428","73.14996"
"20181024_194813","-0.628","1.53","10.05","19.24283","73.14999"
"20181024_194813","-0.424","1.992","10.857","19.24283","73.14999"
"20181024_194814","-0.289","1.254","8.983","19.24285","73.15001"
"20181024_194814","-0.481","1.876","10.461","19.24285","73.15001"
"20181024_194815","-0.157","1.702","10.021","19.24286","73.15003"
"20181024_194815","-0.157","1.26","8.758","19.24286","73.15003"
"20181024_194816","0.21","1.862","10.533","19.24288","73.15004"
"20181024_194816","0.045","1.472","9.966","19.24288","73.15004"
"20181024_194817","0.24","1.635","9.941","19.24288","73.15005"
"20181024_194817","-0.216","3.529","8.632","19.24288","73.15005"
"20181024_194818","-0.172","2.639","9.433","19.24288","73.15005"
"20181024_194818","-0.059","2.573","9.59","19.24288","73.15005"
"20181024_194819","0.028","2.991","9.469","19.24288","73.15004"
"20181024_194819","-0.174","3.302","9.354","19.24288","73.15004"
"20181024_194820","-0.054","3.756","9.424","19.24288","73.15005"
"20181024_194820","-0.426","2.989","8.081","19.24288","73.15005"
"20181024_194821","0.071","3.65","10.369","19.24289","73.15005"
"20181024_194821","-0.668","2.611","8.759","19.24289","73.15005"
"20181024_194822","-1.234","2.652","8.847","19.2429","73.15006"
"20181024_194822","0.094","2.984","10.648","19.2429","73.15006"
"20181024_194823","-1.551","2.248","9.198","19.24292","73.15007"
"20181024_194823","-1.662","3.288","11.271","19.24292","73.15007"
"20181024_194824","-0.918","3.036","10.169","19.24295","73.15008"
"20181024_194824","-0.312","3.254","9.506","19.24295","73.15008"
"20181024_194825","-0.729","3.074","9.089","19.24298","73.15009"
"20181024_194825","-1.751","1.644","10.504","19.24298","73.15009"
"20181024_194826","-0.348","2.822","9.203","19.24302","73.15009"
"20181024_194826","-2.096","1.75","10.424","19.24302","73.15009"
"20181024_194827","-0.414","1.669","7.41","19.24305","73.15009"
"20181024_194827","-1.246","2.986","6.683","19.24305","73.15009"
"20181024_194828","-1.794","1.269","10.072","19.24309","73.15009"
"20181024_194829","-0.391","3.508","11.633","19.24309","73.15009"
"20181024_194829","-1.611","3.168","9.069","19.24312","73.15008"
"20181024_194830","-2.735","3.143","9.049","19.24312","73.15008"
"20181024_194830","0.645","2.683","9.536","19.24315","73.15008"
"20181024_194831","-1.417","2.877","8.04","19.24315","73.15008"
"20181024_194831","-1.734","3.172","9.806","19.24319","73.15006"
"20181024_194832","-1.692","3.135","10.137","19.24319","73.15006"
"20181024_194832","-1.549","2.727","9.366","19.24323","73.15005"
"20181024_194833","-1.037","3.136","7.508","19.24323","73.15005"
"20181024_194833","-1.142","3.023","11.7","19.24326","73.15002"
"20181024_194834","-0.523","2.38","9.686","19.24326","73.15002"
"20181024_194834","-0.188","3.596","8.725","19.2433","73.14999"
"20181024_194835","0.117","2.914","10.423","19.2433","73.14999"
"20181024_194835","-0.372","1.435","11.202","19.24334","73.14994"
"20181024_194836","0.026","1.875","10.42","19.24334","73.14994"
"20181024_194836","-0.879","2.816","9.909","19.24338","73.1499"
"20181024_194837","-0.438","2.398","8.754","19.24338","73.1499"
"20181024_194837","-0.286","2.393","8.958","19.24342","73.14986"
"20181024_194838","-0.309","2.284","10.185","19.24342","73.14986"
"20181024_194838","0.37","2.892","8.41","19.24345","73.14982"
"20181024_194839","0.584","2.221","8.257","19.24345","73.14982"
"20181024_194839","0.301","3.301","11.435","19.24348","73.14979"
"20181024_194840","0.167","2.228","10.506","19.24348","73.14979"
"20181024_194840","-0.05","2.723","9.285","19.24352","73.14976"
"20181024_194841","0.18","3.342","11.887","19.24352","73.14976"
"20181024_194841","0.574","3.244","10.761","19.24355","73.14972"
"20181024_194842","-0.554","2.575","7.391","19.24355","73.14972"
"20181024_194842","-0.358","3.175","9.559","19.24359","73.14969"
"20181024_194843","0.164","3.191","9.255","19.24359","73.14969"
"20181024_194843","-0.218","3.316","8.122","19.24362","73.14965"
"20181024_194844","-0.369","2.39","8.885","19.24367","73.14961"
"20181024_194844","-0.125","3.753","8.725","19.24367","73.14961"
"20181024_194845","-0.149","3.767","11.705","19.24371","73.14956"
"20181024_194845","0.373","3.46","9.403","19.24371","73.14956"
"20181024_194846","0.739","0.972","10.977","19.24376","73.14952"
"20181024_194846","-0.315","4.08","7.978","19.24376","73.14952"
"20181024_194847","-0.289","2.69","7.142","19.24381","73.14947"
"20181024_194847","0.715","3.278","9.656","19.24381","73.14947"
"20181024_194848","0.169","2.448","12.617","19.24386","73.14942"
"20181024_194848","-1.563","3.04","7.796","19.24386","73.14942"
"20181024_194849","0.481","0.607","13.096","19.24391","73.14936"
"20181024_194849","0.811","2.96","6.968","19.24391","73.14936"
"20181024_194850","-0.067","3.346","9.151","19.24397","73.14931"
"20181024_194850","-0.735","2.749","6.696","19.24397","73.14931"
"20181024_194851","-0.85","2.229","10.118","19.24403","73.14925"
"20181024_194851","-0.481","4.16","8.189","19.24403","73.14925"
"20181024_194852","-0.498","1.967","6.509","19.24408","73.14919"
"20181024_194852","-0.015","2.932","12.354","19.24408","73.14919"
"20181024_194853","0.507","4.101","9.007","19.24412","73.14914"
"20181024_194853","0.137","2.793","7.535","19.24412","73.14914"
"20181024_194854","-0.135","1.697","15.205","19.24418","73.14909"
"20181024_194854","-0.364","4.132","7.227","19.24418","73.14909"
"20181024_194855","0.155","0.118","11.673","19.24423","73.14903"
"20181024_194855","-0.728","2.568","8.747","19.24423","73.14903"
"20181024_194856","0.318","1.645","11.086","19.24428","73.14898"
"20181024_194856","-0.04","1.417","12.03","19.24428","73.14898"
"20181024_194857","0.341","2.209","11.097","19.24433","73.14893"
"20181024_194857","-0.398","1.732","9.692","19.24433","73.14893"
"20181024_194858","0.223","1.913","9.89","19.24437","73.14889"
"20181024_194858","0.596","1.776","8.329","19.24437","73.14889"
"20181024_194859","-0.172","1.17","9.838","19.24441","73.14885"
"20181024_194900","-0.043","0.709","8.427","19.24441","73.14885"
"20181024_194900","-0.636","3.311","5.314","19.24445","73.14882"
"20181024_194901","0.98","1.6","9.097","19.24445","73.14882"
"20181024_194901","-0.519","3.386","8.856","19.24448","73.1488"
"20181024_194902","0.4","3.949","9.742","19.24448","73.1488"
"20181024_194902","0.772","2.521","7.099","19.2445","73.14877"
"20181024_194903","0.246","3.819","11.494","19.2445","73.14877"
"20181024_194903","-0.039","2.664","8.497","19.24454","73.14874"
"20181024_194904","-0.39","1.667","12.646","19.24454","73.14874"
"20181024_194904","-0.216","2.494","10.066","19.24457","73.1487"
"20181024_194905","0.834","3.141","10.079","19.24457","73.1487"
"20181024_194905","0.658","4.014","9.446","19.24461","73.14867"
"20181024_194906","0.349","1.184","11.795","19.24461","73.14867"
"20181024_194906","-0.552","2.365","7.671","19.24467","73.14864"
"20181024_194907","-0.337","1.854","11.545","19.24467","73.14864"
"20181024_194907","-0.404","2.93","8.892","19.24471","73.1486"
"20181024_194908","0.488","2.182","9.695","19.24471","73.1486"
"20181024_194908","0.548","3.735","11.657","19.24475","73.14855"
"20181024_194909","0.111","3.26","8.874","19.24475","73.14855"
"20181024_194909","-0.673","3.108","9.616","19.2448","73.14851"
"20181024_194910","-0.345","3.056","7.278","19.2448","73.14851"
"20181024_194910","-0.112","2.771","10.728","19.24485","73.14846"
"20181024_194911","-0.174","4.189","10.791","19.24485","73.14846"
"20181024_194911","-0.18","2.291","6.297","19.2449","73.14841"
"20181024_194912","-0.299","2.929","8.618","19.24496","73.14836"
"20181024_194912","0.506","3.017","10.395","19.24496","73.14836"
"20181024_194913","0.22","2.044","8.917","19.24501","73.1483"
"20181024_194913","-0.012","2.676","9.407","19.24501","73.1483"
"20181024_194914","0.114","2.53","8.553","19.24506","73.14825"
"20181024_194914","-0.313","1.296","9.794","19.24506","73.14825"
"20181024_194915","-0.243","1.591","11.83","19.2451","73.14821"
"20181024_194915","-0.104","0.714","12.232","19.2451","73.14821"
"20181024_194916","0.393","3.95","8.414","19.24514","73.14817"
"20181024_194916","0.579","3.517","8.447","19.24514","73.14817"
"20181024_194917","0.569","0.407","12.132","19.24516","73.14814"
"20181024_194917","-0.391","2.854","9.354","19.24516","73.14814"
"20181024_194918","-0.094","3.186","10.984","19.24519","73.14812"
"20181024_194918","0.529","3.016","11.712","19.24519","73.14812"
"20181024_194919","-0.039","3.795","8.135","19.24522","73.14808"
"20181024_194919","-0.119","2.744","11.639","19.24522","73.14808"
"20181024_194920","0.119","1.942","11.645","19.24526","73.14805"
"20181024_194920","1.869","2.434","12.25","19.24526","73.14805"
"20181024_194921","-0.143","1.903","9.631","19.24529","73.14802"
