"","","","","",""
"20181024_194802","-0.331","0.712","9.739","19.17331","72.95232"
"20181024_194802","0.028","0.733","9.765","19.17331","72.95232"
"20181024_194803","-0.025","0.618","9.559","19.17332","72.95229"
"20181024_194803","0.42","1.724","8.831","19.17332","72.95229"
"20181024_194804","0.432","1.887","9.191","19.17333","72.95229"
"20181024_194804","0.873","0.836","9.691","19.17333","72.95229"
"20181024_194805","0.418","0.238","10.292","19.17334","72.95227"
"20181024_194805","-0.037","2.091","9.162","19.17334","72.95227"
"20181024_194806","-0.011","1.827","9.906","19.17335","72.95224"
"20181024_194806","-0.185","1.715","9.732","19.17335","72.95224"
"20181024_194807","0.085","1.928","9.921","19.17337","72.95222"
"20181024_194807","0.162","2.096","9.49","19.17337","72.95222"
"20181024_194808","0.332","1.538","9.887","19.17338","72.95221"
"20181024_194808","0.207","2.04","9.816","19.17341","72.95217"
"20181024_194809","0.14","1.99","10.201","19.17341","72.95217"
"20181024_194809","0.145","0.812","9.782","19.17344","72.95213"
"20181024_194810","0.372","0.563","9.543","19.17344","72.95213"
"20181024_194810","0.198","0.889","9.531","19.17347","72.9521"
"20181024_194811","0.246","0.693","10.393","19.17347","72.9521"
"20181024_194811","0.756","0.367","10.165","19.1735","72.95206"
"20181024_194812","0.837","0.697","10.266","19.1735","72.95206"
"20181024_194812","0.325","1.432","9.136","19.17354","72.95202"
"20181024_194813","-0.406","2.057","9.234","19.17354","72.95202"
"20181024_194813","-0.621","1.195","10.021","19.17358","72.95199"
"20181024_194814","-0.477","1.09","10.021","19.17358","72.95199"
"20181024_194814","0.885","1.384","10.065","19.17363","72.95193"
"20181024_194815","0.878","0.884","9.995","19.17363","72.95193"
"20181024_194815","0.839","1.006","9.753","19.17368","72.95187"
"20181024_194816","0.346","0.274","9.804","19.17368","72.95187"
"20181024_194816","0.054","0.343","10.165","19.17373","72.95182"
"20181024_194817","0.478","0.918","10.172","19.17373","72.95182"
"20181024_194817","0.729","1.107","9.605","19.17378","72.95177"
"20181024_194818","0.377","1.655","10.024","19.17378","72.95177"
"20181024_194818","0.574","1.282","9.449","19.17383","72.95172"
"20181024_194819","0.384","0.247","9.717","19.17383","72.95172"
"20181024_194819","0.313","0.726","9.488","19.17387","72.95166"
"20181024_194820","-0.252","0.056","11.142","19.17387","72.95166"
"20181024_194820","-0.307","0.18","9.792","19.17391","72.95162"
"20181024_194821","0.104","-0.385","10.057","19.17391","72.95162"
"20181024_194821","0.293","0.171","10.002","19.17394","72.95158"
"20181024_194822","-0.75","0.384","10.527","19.17394","72.95158"
"20181024_194822","-0.521","0.333","10.529","19.17398","72.95153"
"20181024_194823","-0.008","0.891","10.199","19.17398","72.95153"
"20181024_194823","0.076","1.03","10.256","19.17402","72.95148"
"20181024_194824","0.724","1.818","9.432","19.17402","72.95148"
"20181024_194824","1.131","2.148","9.409","19.17405","72.95144"
"20181024_194825","0.533","1.993","8.985","19.17405","72.95144"
"20181024_194826","0.183","1.454","9.456","19.17407","72.9514"
"20181024_194826","0.54","0.645","10.321","19.17407","72.9514"
"20181024_194827","-0.082","0.599","9.504","19.1741","72.95135"
"20181024_194827","0.495","0.58","9.361","19.1741","72.95135"
"20181024_194828","0.523","0.367","10.962","19.17415","72.9513"
"20181024_194828","0.538","0.415","9.818","19.17415","72.9513"
"20181024_194829","-0.011","1.243","9.681","19.1742","72.95124"
"20181024_194829","0.179","0.649","10.687","19.1742","72.95124"
"20181024_194830","0.753","0.853","9.423","19.17424","72.95119"
"20181024_194830","0.044","0.257","9.195","19.17424","72.95119"
"20181024_194831","0.308","0.489","9.533","19.17428","72.95115"
"20181024_194831","0.234","0.616","9.629","19.17428","72.95115"
"20181024_194832","0.638","0.918","10.237","19.17433","72.95111"
"20181024_194832","0.322","0.63","9.978","19.17433","72.95111"
"20181024_194833","0.131","0.705","10.1","19.17436","72.95107"
"20181024_194833","0.478","-0.246","11.556","19.17436","72.95107"
"20181024_194834","-0.018","-1.417","10.06","19.17439","72.95103"
"20181024_194834","-0.145","-1.635","10.517","19.17439","72.95103"
"20181024_194835","-0.025","-1.206","10.213","19.17442","72.95099"
"20181024_194835","0.088","0.211","9.748","19.17444","72.95096"
"20181024_194836","0.176","0.697","9.686","19.17444","72.95096"
"20181024_194836","0.021","0.678","9.794","19.17444","72.95095"
"20181024_194837","0.396","0.587","9.83","19.17444","72.95095"
"20181024_194837","0.526","1.396","9.511","19.17444","72.95095"
"20181024_194838","0.31","1.497","9.696","19.17444","72.95095"
"20181024_194838","0.112","0.925","9.859","19.17445","72.95094"
"20181024_194839","-0.233","0.508","9.811","19.17445","72.95094"
"20181024_194839","-0.197","0.506","9.89","19.17446","72.95093"
"20181024_194840","0.028","0.693","9.514","19.17446","72.95093"
"20181024_194840","-0.784","0.525","10.529","19.17448","72.95093"
"20181024_194841","0.286","2.792","9.729","19.17448","72.95093"
"20181024_194841","0.234","1.128","9.095","19.1745","72.95091"
"20181024_194842","0.497","0.942","8.896","19.1745","72.95091"
"20181024_194842","1.098","0.743","8.626","19.17451","72.95089"
"20181024_194843","1.299","0.556","9.976","19.17451","72.95089"
"20181024_194843","0.832","0.757","9.854","19.17454","72.95089"
"20181024_194844","1.266","1.576","9.595","19.17454","72.95089"
"20181024_194844","1.163","1.751","9.837","19.17456","72.95089"
"20181024_194845","1.357","1.581","10.017","19.17456","72.95089"
"20181024_194845","1.859","1.562","9.286","19.17459","72.9509"
"20181024_194846","1.857","1.377","9.753","19.17459","72.9509"
"20181024_194846","1.057","2.06","9.744","19.17461","72.95091"
"20181024_194847","0.878","2.179","9.406","19.17461","72.95091"
"20181024_194847","0.705","1.736","9.349","19.17464","72.95094"
"20181024_194848","0.736","0.946","8.882","19.17464","72.95094"
"20181024_194848","0.77","2.014","9.193","19.17467","72.95097"
"20181024_194849","0.435","0.772","10.029","19.17467","72.95097"
"20181024_194849","0.495","0.829","9.816","19.1747","72.951"
"20181024_194850","0.71","0.441","9.064","19.1747","72.951"
"20181024_194850","0.013","-0.43","10.306","19.17474","72.95107"
"20181024_194851","-0.726","-0.368","10.821","19.17474","72.95107"
"20181024_194852","-0.796","-1.053","9.851","19.17478","72.95111"
"20181024_194852","-0.454","-0.883","10.177","19.17478","72.95111"
"20181024_194853","-0.413","-0.172","9.916","19.1748","72.95113"
"20181024_194853","-1.335","0.669","9.057","19.1748","72.95113"
"20181024_194854","-0.226","0.688","9.95","19.17482","72.95114"
"20181024_194854","-0.513","0.654","9.574","19.17482","72.95114"
"20181024_194855","-1.701","1.586","9.167","19.17483","72.95115"
"20181024_194855","-1.186","2.701","9.983","19.17483","72.95115"
"20181024_194856","-1.102","1.255","9.686","19.17485","72.95116"
"20181024_194856","-1.426","1.703","9.26","19.17485","72.95116"
"20181024_194857","-2.158","1.183","9.705","19.17486","72.95115"
"20181024_194857","-1.026","1.545","10.335","19.17486","72.95115"
"20181024_194858","-0.54","1.916","9.485","19.17488","72.95113"
"20181024_194858","-0.183","2.311","9.521","19.17488","72.95113"
"20181024_194859","-0.19","2.266","9.681","19.17489","72.95109"
"20181024_194859","-0.521","2.531","9.14","19.17489","72.95109"
"20181024_194900","-0.176","2.007","9.928","19.1749","72.95106"
"20181024_194900","0.126","0.717","9.478","19.1749","72.95106"
"20181024_194901","0.557","0.673","10.191","19.17491","72.95099"
"20181024_194901","-0.26","0.683","10.213","19.17491","72.95099"
"20181024_194902","0.135","0.822","9.873","19.17492","72.95093"
"20181024_194902","0.729","1.418","9.646","19.17492","72.95093"
"20181024_194903","1.014","1.641","8.911","19.17493","72.95087"
"20181024_194903","0.825","1.629","9.272","19.17493","72.95087"
"20181024_194904","0.705","1.715","8.484","19.17494","72.9508"
"20181024_194904","0.483","1.329","9.715","19.17494","72.9508"
"20181024_194905","-0.451","1.368","9.674","19.17495","72.95071"
"20181024_194905","0.665","1.72","8.781","19.17496","72.9506"
"20181024_194906","0.442","1.435","9.703","19.17496","72.9506"
"20181024_194906","0.531","1.739","10.175","19.17496","72.95052"
"20181024_194907","0.296","1.401","9.981","19.17496","72.95052"
"20181024_194907","0.748","1.61","9.59","19.17495","72.95043"
"20181024_194908","0.691","1.622","9.974","19.17495","72.95043"
"20181024_194908","0.26","0.623","9.885","19.17495","72.95033"
"20181024_194909","-0.092","0.511","10.409","19.17495","72.95033"
"20181024_194909","-0.269","0.59","9.152","19.17497","72.95022"
"20181024_194910","-0.3","0.86","9.835","19.17497","72.95022"
"20181024_194910","0.238","0.738","9.576","19.17497","72.95012"
"20181024_194911","0.463","0.954","8.532","19.17497","72.95012"
"20181024_194911","0.916","-0.624","10.754","19.17497","72.95001"
"20181024_194912","-0.094","-0.397","9.456","19.17497","72.95001"
"20181024_194912","0.155","-0.761","10.132","19.17498","72.94991"
"20181024_194913","0.418","0.606","9.485","19.17498","72.94991"
"20181024_194913","-0.011","0.319","9.157","19.17497","72.94983"
"20181024_194914","1.184","0.98","9.885","19.17497","72.94983"
"20181024_194914","0.564","0.894","9.868","19.17496","72.94974"
"20181024_194915","0.77","1.193","8.741","19.17496","72.94974"
"20181024_194915","0.066","0.293","9.89","19.17495","72.94967"
"20181024_194916","-0.035","0.927","9.444","19.17495","72.94967"
"20181024_194916","-0.64","0.535","9.796","19.17492","72.94961"
"20181024_194917","0.511","1.712","9.887","19.17492","72.94961"
"20181024_194917","0.557","1.492","9.004","19.1749","72.94954"
"20181024_194918","0.188","1.708","9.49","19.1749","72.94954"
"20181024_194918","0.157","1.169","10.038","19.17491","72.94948"
"20181024_194919","0.088","1.128","10.026","19.17491","72.94948"
"20181024_194919","0.44","1.483","9.669","19.17491","72.94941"
"20181024_194920","0.258","1.416","10.51","19.17491","72.94941"
"20181024_194920","-0.152","0.985","10.105","19.17492","72.94932"
"20181024_194921","0.346","0.539","10.246","19.17492","72.94932"
"20181024_194921","0.317","0.688","9.332","19.17493","72.94924"
"20181024_194922","0.55","1.116","10.33","19.17493","72.94924"
"20181024_194922","0.65","0.319","10.053","19.17492","72.94917"
"20181024_194923","1.357","1.619","8.166","19.17492","72.94917"
"20181024_194924","0.648","0.365","10.44","19.17493","72.9491"
"20181024_194924","0.408","0.707","10.266","19.17493","72.9491"
"20181024_194925","0.554","0.75","9.578","19.17493","72.94903"
"20181024_194925","0.55","1.284","10.024","19.17493","72.94903"
"20181024_194926","0.684","1.305","9.708","19.17493","72.94895"
"20181024_194926","-0.123","0.879","8.729","19.17493","72.94895"
"20181024_194927","1.108","0.204","9.883","19.17493","72.94887"
"20181024_194927","-0.463","0.812","10.747","19.17493","72.94887"
"20181024_194928","-0.19","1.416","9.739","19.17493","72.9488"
"20181024_194928","0.171","1.645","10.397","19.17493","72.9488"
"20181024_194929","-0.434","1.705","11.355","19.17493","72.94873"
"20181024_194929","0.104","0.717","9.832","19.17493","72.94873"
"20181024_194930","0.985","0.851","9.15","19.17492","72.94866"
"20181024_194930","1.04","1.54","9.653","19.17492","72.94866"
"20181024_194931","-0.798","1.523","9.935","19.17492","72.94851"
"20181024_194931","0.38","2.278","8.642","19.17491","72.94843"
"20181024_194932","-0.298","0.676","10.024","19.17491","72.94843"
"20181024_194932","-0.585","1.569","10.151","19.17492","72.94835"
"20181024_194933","0.15","1.818","11.745","19.17492","72.94835"
"20181024_194933","-0.789","1.004","10.261","19.17491","72.94825"
"20181024_194934","-1.385","0.089","9.842","19.17491","72.94825"
"20181024_194934","0.073","0.381","9.748","19.17491","72.94815"
"20181024_194935","-0.41","0.219","10.421","19.17491","72.94815"
"20181024_194935","0.042","0.429","10.187","19.17489","72.94806"
"20181024_194936","1.096","-0.33","9.859","19.17488","72.94796"
"20181024_194936","0.174","-0.627","9.416","19.17488","72.94796"
"20181024_194937","0.782","-0.713","9.777","19.17487","72.94788"
"20181024_194937","0.547","-0.433","9.538","19.17487","72.94788"
"20181024_194938","0.341","-0.677","9.823","19.17486","72.9478"
"20181024_194938","0.892","0.851","9.224","19.17486","72.9478"
"20181024_194939","0.873","0.709","9.076","19.17485","72.94774"
"20181024_194939","1.414","0.01","10.275","19.17485","72.94774"
"20181024_194940","1.261","1.011","9.614","19.17485","72.94771"
"20181024_194940","1.558","-0.054","11.487","19.17485","72.94771"
"20181024_194941","3.317","0.343","9.758","19.17485","72.94767"
"20181024_194941","1.038","0.939","8.269","19.17485","72.94767"
"20181024_194942","1.187","0.985","10.148","19.17489","72.94765"
"20181024_194942","0.595","2.333","9.89","19.17489","72.94765"
"20181024_194943","0.186","1.454","7.831","19.17494","72.94765"
"20181024_194943","0.787","1.411","7.084","19.17494","72.94765"
"20181024_194944","-0.731","1.645","9.667","19.17497","72.94764"
"20181024_194944","-0.288","1.952","9.54","19.17497","72.94764"
"20181024_194945","-0.178","1.741","9.911","19.17501","72.94764"
"20181024_194945","-0.216","1.459","9.962","19.17501","72.94764"
"20181024_194946","-0.078","0.786","9.801","19.17508","72.94764"
"20181024_194946","-0.346","0.573","9.765","19.17508","72.94764"
"20181024_194947","0.025","1.349","9.545","19.17515","72.94764"
"20181024_194947","-0.137","1.191","9.691","19.17515","72.94764"
"20181024_194948","0.025","1.298","10.002","19.17521","72.94764"
"20181024_194948","-0.317","1.03","9.547","19.17521","72.94764"
"20181024_194949","0.037","0.717","9.576","19.17525","72.94763"
"20181024_194949","-0.284","0.719","9.938","19.17525","72.94763"
"20181024_194950","-0.276","1.114","10.084","19.17533","72.94764"
"20181024_194950","0.028","1.164","9.717","19.17533","72.94764"
"20181024_194951","-0.269","0.717","9.516","19.1754","72.94763"
"20181024_194952","-0.295","0.487","10.462","19.1754","72.94763"
"20181024_194952","0.021","-0.107","9.131","19.17548","72.94763"
"20181024_194953","0.006","-0.347","11.18","19.17548","72.94763"
"20181024_194953","-0.224","-0.756","9.938","19.17556","72.94763"
"20181024_194954","-0.085","-0.449","9.715","19.17556","72.94763"
"20181024_194954","-0.604","-0.825","10.17","19.17564","72.94763"
"20181024_194955","0.174","0.898","9.717","19.17564","72.94763"
"20181024_194955","-0.233","0.841","9.329","19.17567","72.94763"
"20181024_194956","0.023","0.269","9.265","19.17567","72.94763"
"20181024_194956","-0.42","-0.083","9.227","19.1757","72.94764"
"20181024_194957","-0.324","0.781","10.349","19.1757","72.94764"
"20181024_194957","-0.671","0.472","10.127","19.17571","72.94764"
"20181024_194958","-1.071","0.274","10.026","19.17571","72.94764"
"20181024_194958","-1.198","0.151","9.813","19.17573","72.94764"
"20181024_194959","-1.33","0.793","9.521","19.17573","72.94764"
"20181024_194959","-1.064","0.649","10.194","19.17576","72.94764"
"20181024_195000","-0.559","1.452","9.851","19.17576","72.94764"
"20181024_195000","-1.229","1.059","10.029","19.17578","72.94762"
"20181024_195001","0.102","1.705","9.567","19.17578","72.94762"
"20181024_195001","-0.209","1.317","8.616","19.17579","72.9476"
"20181024_195002","0.43","2.131","8.324","19.17579","72.9476"
"20181024_195002","-0.398","1.466","10.199","19.17581","72.94756"
"20181024_195003","-0.008","1.844","9.839","19.17581","72.94756"
"20181024_195003","0.255","2.021","9.794","19.17581","72.94752"
"20181024_195004","0.43","2.143","10.182","19.17581","72.94752"
"20181024_195004","0.401","1.66","9.684","19.1758","72.94748"
"20181024_195005","0.258","1.564","9.602","19.17581","72.94744"
"20181024_195005","0.511","1.564","9.313","19.17581","72.94744"
"20181024_195006","0.212","0.661","9.576","19.1758","72.94738"
"20181024_195006","0.226","0.482","10.012","19.1758","72.94738"
"20181024_195007","0.425","0.393","9.935","19.1758","72.94733"
"20181024_195007","0.066","0.815","9.863","19.1758","72.94733"
"20181024_195008","0.435","0.944","11.039","19.17579","72.94727"
"20181024_195008","0.006","1.361","10.057","19.17579","72.94727"
"20181024_195009","0.351","1.186","10.021","19.1758","72.94722"
"20181024_195009","0.521","1.626","9.82","19.1758","72.94722"
"20181024_195010","0.341","1.224","9.816","19.17579","72.94716"
"20181024_195010","0.531","1.619","9.811","19.17579","72.94716"
"20181024_195011","0.193","0.985","10.227","19.17579","72.94711"
"20181024_195011","0.317","0.903","8.755","19.17579","72.94711"
"20181024_195012","0.095","0.29","10.012","19.17578","72.94705"
"20181024_195012","0.334","0.326","9.763","19.17578","72.94705"
"20181024_195013","0.483","0.3","10.625","19.17578","72.947"
"20181024_195013","-0.26","0.384","10.4","19.17578","72.947"
"20181024_195014","0.382","0.386","10.424","19.17576","72.94694"
"20181024_195014","0.677","0.015","8.415","19.17576","72.94694"
"20181024_195015","0.401","-0.72","10.091","19.17576","72.94689"
"20181024_195015","0.171","-1.426","9.363","19.17576","72.94689"
"20181024_195016","0.538","0.894","9.775","19.17576","72.94687"
"20181024_195016","0.588","1.15","9.028","19.17576","72.94687"
"20181024_195017","-0.152","2.263","9.25","19.17575","72.94685"
"20181024_195017","0.94","0.29","8.429","19.17575","72.94685"
"20181024_195018","0.169","1.863","8.597","19.17576","72.94683"
"20181024_195018","0.346","1.983","8.616","19.17576","72.94683"
"20181024_195019","0.222","2.333","9.61","19.17575","72.9468"
"20181024_195019","1.1","1.892","10.132","19.17575","72.9468"
"20181024_195020","2.18","2.072","7.153","19.17575","72.94676"
"20181024_195020","1.215","2.665","8.503","19.17575","72.94676"
"20181024_195021","0.31","2.301","9.315","19.17574","72.94672"
"20181024_195022","-0.051","0.796","10.074","19.17574","72.94672"
"20181024_195022","0.1","0.719","9.82","19.17574","72.94666"
"20181024_195023","0.643","1.363","9.801","19.17574","72.94666"
"20181024_195023","0.507","0.98","9.215","19.17575","72.9466"
"20181024_195024","0.214","1.377","9.595","19.17575","72.9466"
"20181024_195024","-0.07","1.052","9.99","19.17575","72.94654"
"20181024_195025","0.258","1.739","10.158","19.17575","72.94654"
"20181024_195025","-0.291","1.119","8.772","19.17575","72.94648"
"20181024_195026","0.43","1.011","9.459","19.17575","72.94648"
"20181024_195026","0.224","1.147","9.758","19.17575","72.94641"
"20181024_195027","0.191","1.068","10.582","19.17575","72.94641"
"20181024_195027","0.1","1.425","10.067","19.17576","72.94634"
"20181024_195028","0.291","1.638","10.665","19.17576","72.94634"
"20181024_195028","-0.216","1.492","9.624","19.17576","72.94627"
"20181024_195029","0.708","1.545","9.868","19.17576","72.94627"
"20181024_195029","0.09","0.985","9.849","19.17576","72.94621"
"20181024_195030","0.542","0.724","9.847","19.17576","72.94621"
"20181024_195030","0.545","0.867","10.467","19.17576","72.94613"
"20181024_195031","0.361","0.877","10.17","19.17576","72.94613"
"20181024_195031","0.181","0.793","10.342","19.17575","72.94606"
"20181024_195032","-0.035","1.114","9.854","19.17575","72.94606"
"20181024_195032","0.689","0.963","9.351","19.17575","72.94598"
"20181024_195033","0.928","1.1","9.602","19.17575","72.94598"
"20181024_195033","0.78","1.226","10.352","19.17574","72.94591"
"20181024_195034","0.42","1.909","10.124","19.17574","72.94591"
"20181024_195034","0.492","1.78","10.203","19.17573","72.94583"
"20181024_195035","0.025","1.394","9.224","19.17574","72.94576"
"20181024_195035","0.315","1.746","9.94","19.17574","72.94576"
"20181024_195036","-0.255","1.811","10.244","19.17573","72.94568"
"20181024_195036","0.815","2.756","8.719","19.17573","72.94568"
"20181024_195037","0.499","1.734","11.614","19.17573","72.9456"
"20181024_195037","0.559","1.758","9.796","19.17573","72.9456"
"20181024_195038","0.629","0.791","9.31","19.17574","72.94552"
"20181024_195038","0.978","0.266","9.394","19.17574","72.94552"
"20181024_195039","0.377","0.159","10.062","19.17573","72.94543"
"20181024_195039","-0.461","-0.332","7.603","19.17573","72.94543"
"20181024_195040","0.693","0.441","11.374","19.17573","72.94533"
"20181024_195040","0.298","0.247","10.735","19.17573","72.94533"
"20181024_195041","0.112","1.162","10.215","19.17574","72.94524"
"20181024_195041","0.44","1.25","9.375","19.17574","72.94524"
"20181024_195042","0.217","1.147","9.569","19.17574","72.94516"
"20181024_195042","0.174","1.181","10.11","19.17574","72.94516"
"20181024_195043","0.787","1.485","9.023","19.17573","72.94508"
"20181024_195043","0.662","1.143","9.847","19.17573","72.94508"
"20181024_195044","0.564","1.672","9.607","19.17571","72.94499"
"20181024_195044","0.15","1.368","9.411","19.17571","72.94499"
"20181024_195045","0.76","1.116","10.455","19.17571","72.94491"
"20181024_195045","0.32","0.879","8.355","19.17571","72.94491"
"20181024_195046","0.322","0.412","9.655","19.17572","72.94482"
"20181024_195046","-0.051","1.334","10.278","19.17572","72.94482"
"20181024_195047","0.396","0.614","11.317","19.17573","72.94473"
"20181024_195047","0.674","1.638","8.252","19.17573","72.94473"
"20181024_195048","0.205","1.526","9.152","19.17574","72.94465"
"20181024_195048","0.811","1.222","9.114","19.17574","72.94465"
"20181024_195049","0.849","1.667","9.157","19.17574","72.94456"
"20181024_195049","0.171","0.772","10.407","19.17574","72.94456"
"20181024_195050","0.653","1.294","8.183","19.17574","72.94448"
"20181024_195050","0.614","0.817","10.323","19.17574","72.94448"
"20181024_195051","0.607","0.774","9.607","19.17573","72.9444"
"20181024_195052","0.31","0.661","9.614","19.17573","72.9444"
"20181024_195052","0.21","1.502","9.064","19.17572","72.9443"
"20181024_195053","-0.499","0.781","10.124","19.17572","72.9443"
"20181024_195053","0.301","1.107","9.99","19.17572","72.94421"
"20181024_195054","-0.451","0.913","10.009","19.17572","72.94421"
"20181024_195054","0.286","0.453","10.934","19.17571","72.94412"
"20181024_195055","0.449","1.475","7.048","19.17571","72.94412"
"20181024_195055","0.013","0.199","9.648","19.17571","72.94403"
"20181024_195056","-0.231","0.314","10.146","19.17571","72.94403"
"20181024_195056","0.756","1.15","10.007","19.1757","72.94395"
"20181024_195057","0.42","0.666","9.911","19.1757","72.94395"
"20181024_195057","0.143","1.047","9.617","19.1757","72.94389"
"20181024_195058","0.593","2.668","9.72","19.1757","72.94389"
"20181024_195058","0.327","0.568","11.12","19.17569","72.94381"
"20181024_195059","0.037","0.87","9.49","19.17569","72.94381"
"20181024_195059","0.598","1.712","9.861","19.17569","72.94373"
"20181024_195100","0.552","1.475","9.394","19.17569","72.94373"
"20181024_195100","0.851","1.191","9.978","19.17569","72.94365"
"20181024_195101","-0.149","1.25","8.846","19.17569","72.94365"
"20181024_195101","0.911","1.669","7.498","19.17569","72.94357"
"20181024_195102","0.195","1.322","9.502","19.17569","72.94357"
"20181024_195102","-0.307","1.109","10.316","19.17569","72.94348"
"20181024_195103","0.705","1.387","9.507","19.17569","72.94348"
"20181024_195103","0.547","0.968","9.974","19.17567","72.94337"
"20181024_195104","-0.181","0.499","9.665","19.17567","72.94337"
"20181024_195104","0.159","0.659","10.225","19.17566","72.9433"
"20181024_195105","0.689","0.788","8.752","19.17565","72.94321"
"20181024_195105","0.155","0.381","10.153","19.17565","72.94321"
"20181024_195106","0.598","0.422","10.012","19.17564","72.94313"
"20181024_195106","0.011","-0.009","9.945","19.17564","72.94313"
"20181024_195107","0.483","1.449","8.525","19.17564","72.94306"
"20181024_195107","0.363","0.563","10.218","19.17564","72.94306"
"20181024_195108","0.466","0.295","9.895","19.17564","72.943"
"20181024_195108","0.04","0.293","10.44","19.17564","72.943"
"20181024_195109","0.492","0.044","10.072","19.17563","72.94293"
"20181024_195109","0.416","-1.036","9.935","19.17563","72.94293"
"20181024_195110","-0.513","-0.05","9.48","19.17562","72.94288"
"20181024_195110","-0.109","0.326","9.916","19.17562","72.94288"
"20181024_195111","0.669","0.496","9.914","19.17561","72.94284"
"20181024_195111","1.005","-0.133","10.227","19.17561","72.94284"
"20181024_195112","0.921","-0.799","10.057","19.1756","72.9428"
"20181024_195112","0.708","-0.38","9.715","19.1756","72.9428"
"20181024_195113","0.691","0.367","10.06","19.17559","72.94278"
"20181024_195113","0.435","-0.739","9.906","19.17559","72.94278"
"20181024_195114","0.463","1.576","9.413","19.17559","72.94278"
"20181024_195114","0.586","1.191","9.751","19.17559","72.94278"
"20181024_195115","0.581","1.234","9.701","19.17558","72.94278"
"20181024_195115","0.583","1.234","9.77","19.17558","72.94278"
"20181024_195116","0.566","1.248","9.696","19.17558","72.94278"
"20181024_195116","0.59","1.214","9.763","19.17558","72.94278"
"20181024_195117","0.576","1.231","9.78","19.17558","72.94278"
"20181024_195117","0.557","1.147","9.832","19.17558","72.94278"
"20181024_195118","0.55","1.224","9.77","19.17558","72.94278"
"20181024_195118","0.552","1.21","9.729","19.17558","72.94278"
"20181024_195119","0.61","1.262","9.705","19.17558","72.94278"
"20181024_195120","0.562","1.147","9.792","19.17558","72.94278"
"20181024_195120","0.552","1.135","9.715","19.17558","72.94277"
"20181024_195121","0.578","1.195","9.658","19.17558","72.94277"
"20181024_195121","0.586","1.198","9.691","19.17558","72.94278"
"20181024_195122","0.621","1.219","9.775","19.17558","72.94278"
"20181024_195122","0.545","1.145","9.835","19.17558","72.94277"
"20181024_195123","0.61","1.248","9.737","19.17558","72.94277"
"20181024_195123","0.538","1.083","9.787","19.17558","72.94277"
"20181024_195124","0.581","1.205","9.717","19.17558","72.94277"
"20181024_195124","0.583","1.188","9.78","19.17558","72.94277"
"20181024_195125","0.566","1.217","9.725","19.17558","72.94277"
"20181024_195125","0.626","1.267","9.677","19.17558","72.94277"
"20181024_195126","0.55","1.068","9.763","19.17558","72.94277"
"20181024_195126","0.564","1.186","9.727","19.17558","72.94277"
"20181024_195127","0.571","1.159","9.748","19.17558","72.94277"
"20181024_195127","0.571","1.195","9.708","19.17558","72.94277"
"20181024_195128","0.557","1.138","9.763","19.17558","72.94277"
"20181024_195128","0.614","1.262","9.705","19.17558","72.94277"
"20181024_195129","0.571","1.116","9.768","19.17558","72.94277"
"20181024_195129","0.593","1.238","9.708","19.17558","72.94277"
"20181024_195130","0.576","1.169","9.796","19.17558","72.94277"
"20181024_195130","0.559","1.188","9.787","19.17558","72.94277"
"20181024_195131","0.557","1.124","9.756","19.17558","72.94276"
"20181024_195131","0.626","1.207","9.741","19.17558","72.94276"
"20181024_195132","0.54","1.102","9.751","19.17558","72.94276"
"20181024_195132","0.545","1.109","9.737","19.17558","72.94276"
"20181024_195133","0.588","1.236","9.737","19.17558","72.94277"
"20181024_195133","0.554","1.102","9.713","19.17558","72.94277"
"20181024_195134","0.612","1.222","9.756","19.17558","72.94277"
"20181024_195134","0.586","1.193","9.677","19.17558","72.94277"
"20181024_195135","0.59","1.181","9.746","19.17558","72.94277"
"20181024_195135","0.598","1.21","9.739","19.17558","72.94277"
"20181024_195136","0.6","1.207","9.744","19.17558","72.94277"
"20181024_195136","0.583","1.219","9.799","19.17558","72.94277"
"20181024_195137","0.605","1.224","9.739","19.17558","72.94277"
"20181024_195137","0.581","1.226","9.703","19.17558","72.94277"
"20181024_195138","0.593","1.205","9.679","19.17558","72.94277"
"20181024_195138","0.626","1.224","9.777","19.17558","72.94277"
"20181024_195139","0.528","1.186","9.804","19.17558","72.94277"
"20181024_195139","0.6","1.14","9.732","19.17558","72.94277"
"20181024_195140","0.559","1.061","9.76","19.17558","72.94277"
"20181024_195140","0.648","1.023","9.796","19.17558","72.94277"
"20181024_195141","0.653","2.859","9.868","19.17558","72.94277"
"20181024_195141","0.581","1.315","9.571","19.17558","72.94277"
"20181024_195142","0.583","1.351","9.418","19.17559","72.94277"
"20181024_195142","0.514","2.057","9.466","19.17559","72.94277"
"20181024_195143","0.665","2.148","9.598","19.17558","72.94276"
"20181024_195143","0.595","2.191","9.523","19.17558","72.94276"
"20181024_195144","0.466","2.187","9.636","19.17559","72.94274"
"20181024_195145","0.581","2.579","9.282","19.17559","72.94274"
"20181024_195145","0.542","0.896","9.435","19.17558","72.94272"
"20181024_195146","0.856","0.235","10.129","19.17558","72.94272"
"20181024_195146","0.485","1.516","9.911","19.17558","72.9427"
"20181024_195147","1.172","2.62","9.373","19.17558","72.9427"
"20181024_195147","1.163","1.859","9.617","19.17558","72.94267"
"20181024_195148","1.579","1.447","9.38","19.17558","72.94267"
"20181024_195148","1.469","1.83","9.758","19.17559","72.94265"
"20181024_195149","1.732","1.916","9.631","19.17559","72.94265"
