"","","","","",""
"20181024_182333","-2.533","8.662","4.64","19.04564","72.91473"
"20181024_182334","-1.681","8.408","4.803","19.04562","72.91474"
"20181024_182335","-1.772","8.744","4.688","19.04562","72.91475"
"20181024_182336","-1.724","8.82","5.09","19.04562","72.91477"
"20181024_182337","-2.26","8.179","5.234","19.04561","72.91479"
"20181024_182338","-1.551","9.629","5.593","19.0456","72.91481"
"20181024_182339","-1.757","8.61","4.76","19.0456","72.91484"
"20181024_182340","-1.58","6.096","4.736","19.0456","72.91486"
"20181024_182341","-2.749","6.081","4.918","19.0456","72.9149"
"20181024_182342","-2.035","8.083","5.602","19.04559","72.91495"
"20181024_182343","-3.093","8.753","6.871","19.04559","72.91504"
"20181024_182344","-3.074","8.279","7.834","19.04561","72.91513"
"20181024_182345","-1.829","6.436","5.382","19.04561","72.9152"
"20181024_182346","-1.753","8.677","5.262","19.0456","72.91525"
"20181024_182347","-1.92","6.886","5.875","19.0456","72.9153"
"20181024_182348","-1.935","7.159","6.378","19.04559","72.91536"
"20181024_182349","-1.341","8.715","5.818","19.04558","72.9154"
"20181024_182350","-3.223","7.288","6.244","19.04557","72.9155"
"20181024_182351","-1.571","7.039","6.393","19.04556","72.91556"
"20181024_182352","-1.738","6.924","7.307","19.04554","72.91564"
"20181024_182353","-2.863","6.541","6.785","19.04551","72.9157"
"20181024_182354","-1.566","7.484","5.468","19.04548","72.91583"
"20181024_182355","-1.805","8.083","7.23","19.04547","72.91589"
"20181024_182356","-2.193","7.748","7.681","19.04545","72.91598"
"20181024_182357","-2.26","6.584","7.068","19.04543","72.91606"
"20181024_182358","4.515","4.784","10.846","19.04541","72.91614"
"20181024_182359","3.29","7.058","7.93","19.0454","72.91623"
"20181024_182400","-0.455","6.12","7.58","19.04537","72.91634"
"20181024_182401","0.522","7.063","8.246","19.04535","72.91642"
"20181024_182402","-0.972","6.742","6.546","19.04533","72.9165"
"20181024_182403","-0.34","8.701","8.571","19.04529","72.91658"
"20181024_182404","-1.413","6.579","6.354","19.04526","72.91667"
"20181024_182405","-0.986","6.043","6.426","19.04524","72.91677"
"20181024_182406","-1.8","6.426","7.915","19.04521","72.91684"
"20181024_182407","-2.892","5.454","6.201","19.04519","72.91693"
"20181024_182408","-1.144","5.732","5.962","19.04516","72.91701"
"20181024_182409","-1.216","5.65","5.827","19.04514","72.91709"
"20181024_182410","-1.93","5.775","6.914","19.04512","72.91717"
"20181024_182411","-1.81","5.861","6.388","19.0451","72.91724"
"20181024_182412","-0.546","5.042","7.183","19.04509","72.9173"
"20181024_182413","-0.972","6.081","7.412","19.04508","72.91737"
"20181024_182415","-1.01","5.971","7.594","19.04507","72.91742"
"20181024_182416","-1.154","5.143","6.919","19.04508","72.91745"
"20181024_182417","-1.484","5.167","6.819","19.04505","72.9175"
"20181024_182418","-1.365","6.637","8.298","19.04502","72.91755"
"20181024_182419","-2.796","4.128","8.643","19.04499","72.91759"
"20181024_182420","1.681","8.217","3.007","19.04497","72.91764"
"20181024_182421","-4.736","9.16","5.344","19.04496","72.91766"
"20181024_182422","-4.812","7.441","8.169","19.04495","72.91769"
"20181024_182423","-5.382","5.066","1.719","19.04495","72.91772"
"20181024_182424","0.239","8.997","2.586","19.04494","72.91774"
"20181024_182425","-1.403","9.064","8.322","19.04493","72.91776"
"20181024_182426","0.292","9.845","5.564","19.04492","72.91775"
"20181024_182427","0.153","8.595","5.32","19.04493","72.91777"
"20181024_182428","0.445","9.524","3.203","19.04492","72.91777"
"20181024_182429","0.532","9.462","3.069","19.04492","72.91777"
"20181024_182430","-1.221","9.084","4.19","19.04493","72.91777"
"20181024_182431","-1.417","8.878","5.612","19.04493","72.91776"
"20181024_182432","-1.753","8.662","5.344","19.04494","72.91776"
"20181024_182433","-0.929","7.58","5.77","19.04494","72.91776"
"20181024_182434","-0.215","7.594","5.622","19.04493","72.91777"
"20181024_182435","-0.129","8.61","4.769","19.04493","72.91779"
"20181024_182436","0.043","6.847","6.067","19.04491","72.91783"
"20181024_182437","2.045","6.838","8.126","19.04489","72.91787"
"20181024_182438","0.891","8.078","5.851","19.04488","72.91791"
"20181024_182439","1.049","9.036","2.61","19.04486","72.91795"
"20181024_182440","2.121","8.308","3.74","19.04482","72.91803"
"20181024_182441","2.116","9.385","6.541","19.0448","72.91809"
"20181024_182442","-1.039","7.12","1.36","19.04477","72.91814"
"20181024_182443","0.397","5.171","8.969","19.04475","72.91819"
"20181024_182444","4.884","1.901","9.878","19.04473","72.91824"
"20181024_182445","4.362","4.401","9.457","19.0447","72.91828"
"20181024_182446","1.867","10.894","8.973","19.04469","72.91834"
"20181024_182447","0.575","6.33","7.183","19.04467","72.9184"
"20181024_182448","1.168","9.946","6.345","19.04464","72.91846"
"20181024_182449","2.782","5.262","3.898","19.04462","72.91854"
"20181024_182450","4.41","5.535","8.528","19.04462","72.9186"
"20181024_182451","3.002","7.81","4.094","19.0446","72.91869"
"20181024_182452","2.749","7.551","4.693","19.04461","72.91875"
"20181024_182453","1.575","10.53","5.679","19.04457","72.91881"
"20181024_182454","2.662","5.588","6.048","19.04455","72.91888"
"20181024_182455","2.447","5.339","9.778","19.04453","72.91897"
"20181024_182456","1.709","4.908","7.489","19.04451","72.91905"
"20181024_182457","1.935","4.97","4.688","19.04448","72.91912"
"20181024_182458","2.629","5.013","6.804","19.04447","72.9192"
"20181024_182459","0.383","3.405","7.111","19.04444","72.91928"
"20181024_182500","-0.263","3.979","7.666","19.04438","72.91945"
"20181024_182501","0","5.109","5.344","19.04437","72.91955"
"20181024_182502","0.22","8.926","5.215","19.04434","72.91964"
"20181024_182503","0.915","8.068","9.51","19.04432","72.91972"
"20181024_182504","1.312","5.698","10.798","19.0443","72.91981"
"20181024_182505","-0.666","5.373","3.639","19.04428","72.9199"
"20181024_182506","-4.942","6.512","8.078","19.04426","72.91999"
"20181024_182507","-3.677","7.398","12.182","19.04424","72.92007"
"20181024_182508","0.029","6.972","10.161","19.04422","72.92016"
"20181024_182509","0.067","5.373","4.606","19.04419","72.92024"
"20181024_182510","-1.585","5.851","5.497","19.04416","72.92032"
"20181024_182511","-2.361","5.488","5.334","19.04416","72.9204"
"20181024_182512","-2.203","5.329","7.728","19.04414","72.92049"
"20181024_182513","-0.388","7.628","8.054","19.04412","72.92055"
"20181024_182514","-1.14","6.153","4.841","19.0441","72.92063"
"20181024_182515","-2.021","6.019","6.905","19.04408","72.9207"
"20181024_182516","0.656","5.114","8.906","19.04406","72.92077"
"20181024_182517","0.129","6.603","8.921","19.04404","72.92083"
"20181024_182518","0.388","6.177","7.523","19.04402","72.92088"
"20181024_182519","0.436","7.594","9.29","19.04401","72.92093"
"20181024_182520","-1.427","4.97","8.112","19.044","72.92098"
"20181024_182521","-1.59","6.378","7.776","19.04399","72.92101"
"20181024_182522","-5.349","4.961","5.507","19.04398","72.92104"
"20181024_182523","-5.674","4.334","9.199","19.04398","72.92105"
"20181024_182524","-2.045","5.186","7.494","19.04397","72.92107"
"20181024_182525","-5.037","4.434","4.621","19.04397","72.92108"
"20181024_182526","-13.082","4.654","5.923","19.04397","72.92108"
"20181024_182527","-0.656","5.923","8.217","19.04399","72.92109"
"20181024_182528","0.929","5.215","8.758","19.04399","72.92111"
"20181024_182529","1.935","4.913","8.499","19.04397","72.92111"
"20181024_182530","-2.993","5.138","5.703","19.04397","72.92115"
"20181024_182531","1.437","6.594","7.321","19.04397","72.92119"
"20181024_182532","1.81","4.362","7.226","19.04396","72.92123"
"20181024_182533","2.27","6.407","8.054","19.04395","72.92126"
"20181024_182534","3.505","4.477","8.131","19.04395","72.9213"
"20181024_182535","1.915","7.575","9.117","19.04394","72.92135"
"20181024_182536","0.943","6.11","6.972","19.04394","72.92141"
"20181024_182537","-1.791","4.017","6.713","19.04394","72.92146"
"20181024_182538","-0.977","3.519","7.934","19.04393","72.9215"
"20181024_182539","0.024","3.85","8.49","19.04391","72.92154"
"20181024_182540","0.211","1.144","8.892","19.0439","72.92157"
