20181024_182412,-0.546,5.042,7.183,19.04509,72.9173
20181024_182413,-0.972,6.081,7.412,19.04508,72.91737
20181024_182415,-1.01,5.971,7.594,19.04507,72.91742
20181024_182416,-1.154,5.143,6.919,19.04508,72.91745
20181024_182417,-1.484,5.167,6.819,19.04505,72.9175
20181024_182418,-1.365,6.637,8.298,19.04502,72.91755
20181024_182419,-2.796,4.128,8.643,19.04499,72.91759
20181024_182420,1.681,8.217,3.007,19.04497,72.91764
20181024_182421,-4.736,9.16,5.344,19.04496,72.91766
20181024_182422,-4.812,7.441,8.169,19.04495,72.91769
20181024_182423,-5.382,5.066,1.719,19.04495,72.91772
20181024_182424,0.239,8.997,2.586,19.04494,72.91774
20181024_182425,-1.403,9.064,8.322,19.04493,72.91776
20181024_182426,0.292,9.845,5.564,19.04492,72.91775
20181024_182427,0.153,8.595,5.32,19.04493,72.91777
20181024_182428,0.445,9.524,3.203,19.04492,72.91777
20181024_182429,0.532,9.462,3.069,19.04492,72.91777
20181024_182430,-1.221,9.084,4.19,19.04493,72.91777
20181024_182431,-1.417,8.878,5.612,19.04493,72.91776
20181024_182432,-1.753,8.662,5.344,19.04494,72.91776
20181024_182433,-0.929,7.58,5.77,19.04494,72.91776
