20181024_154830,-1.762,8.581,4.137,19.17806,72.95123
20181024_154831,-1.417,7.355,4.328,19.1781,72.95118
20181024_154832,-1.992,8.312,3.064,19.17814,72.95114
20181024_154833,-2.451,6.512,6.895,19.17818,72.95109
20181024_154834,-2.413,5.171,7.202,19.17824,72.95104
20181024_154835,-2.145,6.435,7.087,19.17828,72.95099
20181024_154836,-0.919,4.252,8.121,19.17834,72.95094
20181024_154837,-2.413,3.83,9.308,19.17839,72.95089
20181024_154838,-3.677,3.639,6.895,19.17844,72.95083
20181024_154839,-3.294,3.141,8.083,19.17849,72.95078
20181024_154840,-2.106,4.29,10.113,19.17854,72.95072
20181024_154841,-0.842,3.486,7.316,19.17857,72.95067
20181024_154842,-1.264,4.022,9.462,19.1786,72.95062
20181024_154843,-1.992,4.405,9.194,19.17864,72.95056
20181024_154844,-1.225,3.447,7.393,19.17868,72.95052
20181024_154845,-1.762,4.213,9.423,19.17873,72.95048
20181024_154846,-1.494,5.976,8.351,19.17876,72.95046
20181024_154847,-4.328,3.217,7.853,19.17878,72.95042
20181024_154848,-4.75,6.359,4.941,19.1788,72.95039
20181024_154849,-3.639,7.546,5.209,19.17882,72.95036
20181024_154850,-4.673,6.78,5.324,19.17883,72.95034
