20181024_155211,-2.106,5.631,5.861,19.18377,72.94876
20181024_155212,-3.102,6.397,8.581,19.18382,72.94874
20181024_155213,2.911,8.504,7.776,19.18388,72.9487
20181024_155214,-1.034,5.056,4.252,19.18393,72.94866
20181024_155215,-0.574,8.236,6.627,19.18398,72.94862
20181024_155216,3.256,7.738,8.236,19.18403,72.94858
20181024_155217,2.49,5.899,6.627,19.18408,72.94854
20181024_155218,0.114,5.478,7.24,19.18414,72.9485
20181024_155219,1.494,6.933,6.589,19.18419,72.94845
20181024_155220,1.953,6.32,4.711,19.18425,72.9484
20181024_155221,2.145,7.125,4.328,19.1843,72.94835
20181024_155222,3.907,8.657,3.792,19.18436,72.9483
20181024_155223,-1.379,6.435,7.546,19.18442,72.94825
20181024_155225,4.52,10.113,7.929,19.18448,72.9482
20181024_155226,0.996,8.504,9.385,19.18453,72.94815
20181024_155227,2.183,4.98,10.956,19.18459,72.9481
20181024_155228,0.689,5.056,7.125,19.18465,72.94806
20181024_155229,0.459,8.657,14.518,19.1847,72.94802
20181024_155230,-0.038,3.562,7.087,19.18475,72.94799
20181024_155231,-0.114,4.673,8.044,19.18479,72.94796
20181024_155232,4.98,5.018,14.02,19.18484,72.94793
