20181024_182433,-0.929,7.58,5.77,19.04494,72.91776
20181024_182434,-0.215,7.594,5.622,19.04493,72.91777
20181024_182435,-0.129,8.61,4.769,19.04493,72.91779
20181024_182436,0.043,6.847,6.067,19.04491,72.91783
20181024_182437,2.045,6.838,8.126,19.04489,72.91787
20181024_182438,0.891,8.078,5.851,19.04488,72.91791
20181024_182439,1.049,9.036,2.61,19.04486,72.91795
20181024_182440,2.121,8.308,3.74,19.04482,72.91803
20181024_182441,2.116,9.385,6.541,19.0448,72.91809
20181024_182442,-1.039,7.12,1.36,19.04477,72.91814
20181024_182443,0.397,5.171,8.969,19.04475,72.91819
20181024_182444,4.884,1.901,9.878,19.04473,72.91824
20181024_182445,4.362,4.401,9.457,19.0447,72.91828
20181024_182446,1.867,10.894,8.973,19.04469,72.91834
20181024_182447,0.575,6.33,7.183,19.04467,72.9184
20181024_182448,1.168,9.946,6.345,19.04464,72.91846
20181024_182449,2.782,5.262,3.898,19.04462,72.91854
20181024_182450,4.41,5.535,8.528,19.04462,72.9186
20181024_182451,3.002,7.81,4.094,19.0446,72.91869
20181024_182452,2.749,7.551,4.693,19.04461,72.91875
20181024_182453,1.575,10.53,5.679,19.04457,72.91881
