20181024_154629,-2.604,9.768,1.723,19.17371,72.95616
20181024_154630,-1.992,10.036,1.532,19.17374,72.95613
20181024_154631,-2.834,8.81,2.796,19.17377,72.95607
20181024_154632,-1.877,8.619,4.175,19.17378,72.956
20181024_154633,-1.34,9.883,4.252,19.17381,72.95596
20181024_154634,-2.911,7.47,4.213,19.17386,72.95594
20181024_154635,-1.455,8.887,3.945,19.17389,72.95589
20181024_154636,-3.064,7.546,5.631,19.17394,72.95583
20181024_154637,-4.788,7.01,3.83,19.17398,72.95578
20181024_154638,-0.689,12.067,10.305,19.17403,72.95573
20181024_154639,-3.83,7.393,2.298,19.1741,72.95566
20181024_154640,-1.685,9.347,5.784,19.17415,72.95561
20181024_154641,-3.179,5.516,4.635,19.17417,72.95559
20181024_154642,-3.371,6.32,5.324,19.17419,72.95557
20181024_154643,-4.558,6.512,5.056,19.1742,72.95556
20181024_154644,-3.869,7.24,5.095,19.1742,72.95556
20181024_154645,-2.49,8.236,6.818,19.1742,72.95556
20181024_154646,-1.149,5.209,8.772,19.1742,72.95556
20181024_154647,-2.49,7.47,7.048,19.17422,72.95554
20181024_154648,-5.056,6.665,4.903,19.17424,72.95552
20181024_154649,-1.149,4.635,6.78,19.17425,72.9555
